customer_zip_code_prefix,orders_count,avg_last_mile_hours,p90_last_mile_hours
29890,10,652.8418888863176,4680.814722217619
64023,7,1090.2935317467366,4565.654166664928
66813,8,1248.264826391358,4514.211666673422
49037,8,950.9745486108586,4493.150555547327
68901,8,1032.5210069487803,4376.104166675359
38170,8,715.0919791655615,4370.400000002235
64013,1,4353.168611112982,4353.168611112982
59380,7,960.1084126963148,4150.958333339542
69308,1,4059.813611112535,4059.813611112535
12316,5,858.3821111127734,4030.5588888823986
41925,5,1010.7486666664481,4008.2280555590987
52090,4,1362.2235416667536,3963.6744444407523
65735,2,2504.221666669473,3910.5588888935745
29724,1,3502.5047222301364,3502.5047222301364
17670,4,966.5057638864964,3439.7880555577576
60865,2,1780.0576388910413,3341.117222227156
69082,4,1391.5064583336934,3318.8347222208977
40243,6,963.693981481716,3316.668888889253
48880,3,1240.9792592599988,3265.096944451332
29278,4,1953.355555552058,3239.679444439709
75908,7,711.2094047644308,3191.7916666679084
45201,8,683.2699652770534,3169.3655555583537
44720,5,941.8992222212255,3122.920277774334
44930,3,1291.4555555544794,3055.0566666573286
48906,2,1574.119444442913,2974.5783333331347
75220,2,1559.9526388887316,2949.699166662991
41270,2,1401.5286111105233,2545.0433333292603
45530,7,654.4530158729425,2513.95916666463
68555,6,763.2955555524677,2512.3047222197056
62320,9,881.4246604939302,2478.9108333326876
25550,10,504.21749999932945,2473.8058333285153
61663,1,2393.427499998361,2393.427499998361
58200,10,499.1881388906389,2372.4075000062585
28611,2,1319.695000000298,2276.5027777701616
87895,1,2217.91250000149,2217.91250000149
57073,3,1015.2767592594028,2097.088611111045
62500,10,535.5453055568039,2069.8877777829766
22773,9,548.6281172831854,2023.175833325833
58035,6,584.9021759238094,2018.8263888917863
87345,2,1131.0449999962002,2014.6602777689695
1140,6,425.4320370350033,2007.7369444482028
44320,2,1223.6894444469362,1992.9430555589497
13580,7,424.1213095246681,1943.456388887018
2245,7,336.3874206362026,1913.8341666720808
7242,6,368.11476851813495,1913.3813888803124
44470,7,1008.1828571424952,1900.1452777795494
21815,8,441.1720486097038,1899.832777775824
63260,10,624.3242499992251,1894.121944449842
1552,9,300.934660491844,1878.5441666655242
53210,3,1168.3386111110449,1869.0963888913393
